scope,AP50-95,AP50,AP75,AP50-S,AP50-M,AP50-L,AP50-95-S,AP50-95-M,AP50-95-L
all,0.48534926674624096,0.8642029524016213,0.4803397509913323,0.7230442358066798,0.8731781800182629,0.9122272450628787,0.3377410429256548,0.5041529539399436,0.5662240151368628
fire,0.4646233519903918,0.8953676004580997,0.4181823632156167,0.8711731206765908,0.94231819420037,0.8969755831433178,0.41842884942584185,0.5383867924086111,0.5121298234272658
smoke,0.5060751815020902,0.8330383043451425,0.542497138767048,0.5749153509367687,0.8040381658361557,0.9274789069824394,0.25705323642546785,0.469919115471276,0.6203182068464599
