scope,AP50-95,AP50,AP75,AP50-S,AP50-M,AP50-L,AP50-95-S,AP50-95-M,AP50-95-L
all,0.5014207350104005,0.870704542074983,0.500081434650137,0.7223616241597154,0.8826644300146017,0.9082077658450214,0.34971475324117357,0.5188093233987904,0.5916799292853913
fire,0.4778397675102849,0.901157971051342,0.42375031890706316,0.8796120011384924,0.940788447397921,0.8861558175350177,0.43109706771696255,0.5495890204626558,0.5410862734874331
smoke,0.525001702510516,0.8402511130986243,0.576412550393211,0.5651112471809385,0.8245404126312825,0.9302597141550247,0.2683324387653845,0.4880296263349251,0.6422735850833492
