scope,AP50-95,AP50,AP75,AP50-S,AP50-M,AP50-L,AP50-95-S,AP50-95-M,AP50-95-L
all,0.4844629686253507,0.8662997687973363,0.476170963395812,0.7439808564630251,0.8847012588632951,0.9143066203639186,0.3351662158908959,0.5047354058451281,0.572720836771754
fire,0.45770328854581915,0.8945087169368985,0.3943856138587136,0.8657151544632706,0.9467574199554182,0.9088175440894505,0.4076454237623224,0.5330360431679533,0.5160483376751863
smoke,0.5112226487048824,0.8380908206577741,0.5579563129329103,0.62224655846278,0.822645097771172,0.9197956966383873,0.2626870080194694,0.476434768522303,0.6293933358683218
