scope,AP50-95,AP50,AP75,AP50-S,AP50-M,AP50-L,AP50-95-S,AP50-95-M,AP50-95-L
all,0.4881235358973241,0.8666121766518088,0.4855118440128173,0.7290666031231133,0.8734073494896771,0.9031443986551765,0.3436302474270399,0.500212218945257,0.5588773207800454
fire,0.4638903574568904,0.8947550105437168,0.4221960139161715,0.8703173563563933,0.9313072178598214,0.8850006271939931,0.421622200826466,0.5304297247156703,0.4894741976213614
smoke,0.5123567143377578,0.8384693427599006,0.5488276741094629,0.5878158498898334,0.8155074811195329,0.9212881701163601,0.26563829402761374,0.4699947131748439,0.6282804439387294
