scope,AP50-95,AP50,AP75,AP50-S,AP50-M,AP50-L,AP50-95-S,AP50-95-M,AP50-95-L
all,0.48334449237200267,0.8712009266621404,0.4644072118244362,0.7416856777166774,0.8821850705099953,0.9112380840041931,0.34622956885807693,0.5032317503177672,0.5579256070135807
fire,0.45506914315138314,0.8906686188039976,0.38178201300052106,0.8694385251308965,0.9367055757858865,0.8833797543318238,0.41032278080660306,0.5280379027854006,0.49686348204232644
smoke,0.5116198415926221,0.8517332345202832,0.5470324106483513,0.6139328303024584,0.8276645652341039,0.9390964136765625,0.2821363569095508,0.47842559785013383,0.6189877319848353
