scope,AP50-95,AP50,AP75,AP50-S,AP50-M,AP50-L,AP50-95-S,AP50-95-M,AP50-95-L
all,0.4947768864697923,0.8717182660611044,0.4933964084845318,0.741530685726275,0.8887503468349542,0.8855539603396637,0.34031241348982344,0.5236761465867387,0.5502433212352832
fire,0.4644303639912219,0.8921182869854537,0.4237113936480468,0.8739562446374728,0.9388704700296082,0.8450601591989436,0.41939076479265064,0.5415869178571382,0.4737571362399768
smoke,0.5251234089483627,0.8513182451367547,0.563081423321017,0.6091051268150772,0.8386302236403004,0.9260477614803836,0.26123406218699624,0.5057653753163389,0.6267295062305897
